,job_no,roles,companies,locations,experience,salaries,skills
63,64,backend developer,aetram group of companies,chennai,0-1 yrs,not disclosed,"computer science,backend,front end,version control,git,postgresql,mysql,debugging"
64,65,.net backend developer,cygnus professionals,"hybrid - hyderabad, ahmedabad",7-12 yrs,15-25 lacs pa,".net core,s3,aws lambda,data structures,etl,.net,core,development"
65,66,backend developer,gedu services,noida,5-10 yrs,8-15 lacs pa,".net core,net core development,microservices,azure functions,microsoft azure,postgresql,rabbit,asp.net web api"
66,67,backend developer,datagain services,mumbai,5-10 yrs,not disclosed,"sub,backend,pdf,compliance,ptp,development,backend development"
67,68,backend developer,the night marketer,"kolkata, new delhi",1-7 yrs,not disclosed,"side,backend,front end,git,mysql,javascript,php,html"
68,69,backend developer,shyftlabs,noida,1-2 yrs,not disclosed,"backend,version control,git,javascript,agile,software development life cycle,application development,unit testing"
69,70,backend developer,indzone tech,mumbai,1-2 yrs,not disclosed,"web application architecture,dbms,ajax,jquery,sql,database design,java,git"
70,71,backend developer,code planet technologies,jaipur,1-2 yrs,not disclosed,"rest,python,web application architecture,dbms,backend development,javascript,jquery,sql"
71,72,job opportunity: backend developer (api),ultragenic research and technologies,noida(sector-135 noida),2-6 yrs,not disclosed,"node.js,mogo db,reacts js,express,redux,javascript,backend development,backend"
72,73,backend developer,fuze technology india,bengaluru,0-1 yrs,not disclosed,"computer science,backend,front end,test scripts,diagnostics,hp data protector,analytical,html"
73,74,backend developer,veniteck solutions,bengaluru,0-3 yrs,not disclosed,"backend,development,backend development"
74,75,backend developer,prime hire inc.,"mumbai, gurugram, bengaluru",0-2 yrs,not disclosed,"rest,python,web application architecture,dbms,backend development,javascript,jquery,sql"
75,76,backend developer,baaz,bengaluru,0-4 yrs,not disclosed,"backend,backend development,development"
